# x y z u_s u_c u(t)
6.129032258065e-01 1.290322580645e-01 0.000000000000e+00 2.809977799380e-03 1.404988899690e-03 -2.113277663298e-04
6.451612903226e-01 1.290322580645e-01 0.000000000000e+00 5.200194932501e-03 2.600097466251e-03 -3.910869259564e-04
6.774193548387e-01 1.290322580645e-01 0.000000000000e+00 9.338802949129e-03 4.669401474565e-03 -7.023359287285e-04
7.096774193548e-01 1.290322580645e-01 0.000000000000e+00 1.632043929509e-02 8.160219647547e-03 -1.227398302761e-03
7.419354838710e-01 1.290322580645e-01 0.000000000000e+00 2.782234339344e-02 1.391117169672e-02 -2.092412859879e-03
7.741935483871e-01 1.290322580645e-01 0.000000000000e+00 4.636546020008e-02 2.318273010004e-02 -3.486970303146e-03
8.064516129032e-01 1.290322580645e-01 0.000000000000e+00 7.567279554009e-02 3.783639777004e-02 -5.691063771732e-03
8.387096774194e-01 1.290322580645e-01 0.000000000000e+00 1.211545837160e-01 6.057729185798e-02 -9.111576455503e-03
8.709677419355e-01 1.290322580645e-01 0.000000000000e+00 1.905569723529e-01 9.527848617643e-02 -1.433106672045e-02
9.032258064516e-01 1.290322580645e-01 0.000000000000e+00 2.948193946514e-01 1.474096973257e-01 -2.217224782208e-02
9.354838709677e-01 1.290322580645e-01 0.000000000000e+00 4.491957605518e-01 2.245978802759e-01 -3.378230843788e-02
9.677419354839e-01 1.290322580645e-01 0.000000000000e+00 6.747062460672e-01 3.373531230336e-01 -5.074209623351e-02
1.000000000000e+00 1.290322580645e-01 0.000000000000e+00 1.000000000021e+00 5.000000000107e-01 -7.520620496752e-02
0.000000000000e+00 1.612903225806e-01 0.000000000000e+00 3.099557704450e-10 1.549778852225e-10 -2.331059720245e-11
3.225806451613e-02 1.612903225806e-01 0.000000000000e+00 3.099557717145e-10 1.549778858573e-10 -2.331059729793e-11
6.451612903226e-02 1.612903225806e-01 0.000000000000e+00 3.099609706399e-10 1.549804853199e-10 -2.331098828938e-11
9.677419354839e-02 1.612903225806e-01 0.000000000000e+00 3.106304766910e-10 1.553152383455e-10 -2.336133929868e-11
1.290322580645e-01 1.612903225806e-01 0.000000000000e+00 3.312557688012e-10 1.656278844006e-10 -2.491248924461e-11
1.612903225806e-01 1.612903225806e-01 0.000000000000e+00 6.199115408899e-10 3.099557704450e-10 -4.662119440490e-11
1.935483870968e-01 1.612903225806e-01 0.000000000000e+00 3.073552554249e-09 1.536776277124e-09 -2.311502233684e-10
2.258064516129e-01 1.612903225806e-01 0.000000000000e+00 1.788256106027e-08 8.941280530134e-09 -1.344879552414e-09
2.580645161290e-01 1.612903225806e-01 0.000000000000e+00 8.755474903777e-08 4.377737451889e-08 -6.584660401874e-09
2.903225806452e-01 1.612903225806e-01 0.000000000000e+00 3.588765178753e-07 1.794382589376e-07 -2.698974096078e-08
3.225806451613e-01 1.612903225806e-01 0.000000000000e+00 1.269888791513e-06 6.349443957565e-07 -9.550351673845e-08
3.548387096774e-01 1.612903225806e-01 0.000000000000e+00 3.984792200349e-06 1.992396100175e-06 -2.996810989661e-07
3.870967741935e-01 1.612903225806e-01 0.000000000000e+00 1.132000238223e-05 5.660001191115e-06 -8.513344193727e-07
4.193548387097e-01 1.612903225806e-01 0.000000000000e+00 2.957906574060e-05 1.478953287030e-05 -2.224529280788e-06
4.516129032258e-01 1.612903225806e-01 0.000000000000e+00 7.197770122289e-05 3.598885061144e-05 -5.413169751144e-06
4.838709677419e-01 1.612903225806e-01 0.000000000000e+00 1.647235145568e-04 8.236175727840e-05 -1.238823039847e-05
5.161290322581e-01 1.612903225806e-01 0.000000000000e+00 3.573549831787e-04 1.786774915894e-04 -2.687531211053e-05
5.483870967742e-01 1.612903225806e-01 0.000000000000e+00 7.396851715756e-04 3.698425857878e-04 -5.562891462377e-05
5.806451612903e-01 1.612903225806e-01 0.000000000000e+00 1.468688948337e-03 7.343444741686e-04 -1.104545220798e-04
6.129032258065e-01 1.612903225806e-01 0.000000000000e+00 2.809978088035e-03 1.404989044018e-03 -2.113277880385e-04
6.451612903226e-01 1.612903225806e-01 0.000000000000e+00 5.200195221157e-03 2.600097610579e-03 -3.910869476651e-04
6.774193548387e-01 1.612903225806e-01 0.000000000000e+00 9.338803237785e-03 4.669401618893e-03 -7.023359504372e-04
7.096774193548e-01 1.612903225806e-01 0.000000000000e+00 1.632043958375e-02 8.160219791875e-03 -1.227398324469e-03
7.419354838710e-01 1.612903225806e-01 0.000000000000e+00 2.782234368210e-02 1.391117184105e-02 -2.092412881588e-03
7.741935483871e-01 1.612903225806e-01 0.000000000000e+00 4.636546048874e-02 2.318273024437e-02 -3.486970324855e-03
8.064516129032e-01 1.612903225806e-01 0.000000000000e+00 7.567279582874e-02 3.783639791437e-02 -5.691063793441e-03
8.387096774194e-01 1.612903225806e-01 0.000000000000e+00 1.211545840046e-01 6.057729200231e-02 -9.111576477212e-03
8.709677419355e-01 1.612903225806e-01 0.000000000000e+00 1.905569726415e-01 9.527848632076e-02 -1.433106674216e-02
9.032258064516e-01 1.612903225806e-01 0.000000000000e+00 2.948193949401e-01 1.474096974700e-01 -2.217224784379e-02
9.354838709677e-01 1.612903225806e-01 0.000000000000e+00 4.491957608405e-01 2.245978804202e-01 -3.378230845959e-02
9.677419354839e-01 1.612903225806e-01 0.000000000000e+00 6.747062463558e-01 3.373531231779e-01 -5.074209625522e-02
1.000000000000e+00 1.612903225806e-01 0.000000000000e+00 1.000000000310e+00 5.000000001550e-01 -7.520620498923e-02
0.000000000000e+00 1.935483870968e-01 0.000000000000e+00 2.763596783804e-09 1.381798391902e-09 -2.078396261659e-10
3.225806451613e-02 1.935483870968e-01 0.000000000000e+00 2.763596785073e-09 1.381798392537e-09 -2.078396262614e-10
6.451612903226e-02 1.935483870968e-01 0.000000000000e+00 2.763601983999e-09 1.381800991999e-09 -2.078400172528e-10
